,id,type,VL,VH,VN,VM,RED,Total
391,960188,AC,463.772,574.967,568.373,503.574,750.0,601.7810000000001
392,911219,AC,527.61,574.967,483.327,503.574,800.0,614.913
393,922626,AC,495.691,521.987,568.373,503.574,725.0,589.9375
394,965280,AC,591.448,416.026,483.327,552.583,700.0,573.8973333333333
395,915110,AC,527.61,416.026,483.327,503.574,750.0,571.7561666666667
396,933923,AC,399.934,574.967,483.327,454.564,750.0,568.7986666666667
397,934714,AC,463.772,521.987,483.327,405.554,750.0,562.4399999999999
398,919633,AC,431.853,416.026,440.804,454.564,800.0,557.2078333333334
399,979737,AC,399.934,363.046,525.85,454.564,725.0,532.2323333333334
400,968693,AC,527.61,521.987,355.758,405.554,775.0,560.1515
401,968906,AC,559.529,416.026,398.281,552.583,600.0,521.0698333333333
402,967494,AC,399.934,416.026,440.804,405.554,700.0,510.38633333333337
403,958038,AC,431.853,521.987,440.804,405.554,625.0,508.36633333333333
404,955783,AC,431.853,469.007,483.327,454.564,550.0,489.7918333333334
405,968908,AC,623.367,521.987,610.897,552.583,100.0,418.13899999999995
406,955383,L1,399.934,469.007,610.897,405.554,750.0,564.2320000000001
407,973557,L1,399.934,521.987,483.327,405.554,775.0,560.1336666666667
408,914089,L1,495.691,416.026,313.235,454.564,700.0,513.2526666666666
409,978303,L1,399.934,469.007,525.85,454.564,500.0,474.8925000000001
410,978276,L3,495.691,469.007,398.281,454.564,800.0,569.5905
411,913903,L5,719.125,521.987,610.897,552.583,900.0,700.7653333333334
412,963007,L5,591.448,521.987,610.897,650.602,850.0,679.1556666666667
413,949985,L5,463.772,627.947,610.897,454.564,875.0,651.1966666666666
414,938311,L5,559.529,627.947,440.804,454.564,850.0,630.474
415,954934,L5,431.853,416.026,398.281,552.583,850.0,583.1238333333333
416,955286,L7,591.448,521.987,610.897,552.583,750.0,629.4858333333333
417,914924,L7,623.367,574.967,440.804,454.564,900.0,648.9503333333333
418,981244,L7,431.853,469.007,440.804,503.574,775.0,565.873
419,975771,L7,559.529,363.046,483.327,405.554,750.0,551.9093333333334
420,930244,L7,495.691,469.007,440.804,356.545,750.0,543.6745
421,925126,AC,655.287,521.987,610.897,601.593,675.0,623.294
422,917005,AC,623.367,416.026,525.85,405.554,825.0,603.4661666666667
423,908907,AC,719.125,469.007,695.943,797.631,900.0,746.951
424,954167,AC,655.287,733.907,610.897,552.583,850.0,708.779
425,911152,AC,655.287,627.947,610.897,454.564,950.0,708.1158333333333
426,939144,AC,687.206,416.026,525.85,650.602,900.0,679.9473333333333
427,945503,AC,687.206,416.026,440.804,503.574,925.0,649.6016666666667
428,914272,AC,527.61,574.967,483.327,503.574,850.0,631.5796666666666
429,908203,AC,655.287,416.026,398.281,552.583,725.0,578.6961666666667
430,909255,AC,463.772,521.987,483.327,405.554,775.0,570.7733333333333
